POS	Accuracy
FW	0.0
PDT	0.0
SYM	0.0
UH	0.0
NNPS	0.027027027027
NNS	0.333789329685
VBN	0.344537815126
VBG	0.368131868132
NNP	0.407224958949
JJ	0.408860759494
JJR	0.409090909091
VB	0.464285714286
RBR	0.5
RP	0.594594594595
JJS	0.625
VBD	0.636150234742
CD	0.638888888889
VBP	0.674556213018
PRP$	0.677685950413
RB	0.693009118541
VBZ	0.700315457413
RBS	0.75
Overall Accuracy	0.762347149436
-NONE-	0.899637243047
WRB	0.935483870968
IN	0.939710610932
WP	0.941176470588
POS	0.944881889764
MD	0.954545454545
WDT	0.960784313725
NN	0.961177207264
PRP	0.975265017668
TO	0.980694980695
''	0.992063492063
DT	0.996138996139
CC	0.996587030717
,	1.0
$	1.0
.	1.0
-LRB-	1.0
:	1.0
``	1.0
EX	1.0
WP$	1.0
-RRB-	1.0
